userid,taskid,date,frequency,remarks,
1,4,6/23/2022,2,Noida,
1,1,6/24/2022,1,Noida,
1,2,6/24/2022,1,Noida,
1,3,6/24/2022,3,Noida,
1,4,6/24/2022,2,Noida,
1,4,6/26/2022,1,,
1,4,6/28/2022,1,,
1,3,6/29/2022,1,,
1,4,6/29/2022,1,,
1,3,7/1/2022,5,Noida,
1,4,7/1/2022,4,Noida,
1,5,7/1/2022,1,Noida,
1,3,7/2/2022,2,Noida,
1,4,7/2/2022,2,Noida,
1,5,7/2/2022,1,Noida,
1,3,7/3/2022,1,Noida,
1,3,7/4/2022,7,Noida,
1,4,7/4/2022,2,Noida,
1,5,7/4/2022,1,Noida,
1,3,7/5/2022,3,Noida,
1,4,7/5/2022,2,Noida,
1,2,7/6/2022,1,Noida,
1,3,7/6/2022,2,Noida,
1,4,7/6/2022,1,Noida,
1,3,7/7/2022,1,,
1,4,7/7/2022,2,,
1,1,7/8/2022,1,,
1,2,7/8/2022,1,,
1,3,7/9/2022,1,,
1,4,7/9/2022,1,,
1,4,7/11/2022,2,,
1,3,7/12/2022,1,,
1,4,7/12/2022,1,,
1,1,7/13/2022,2,,
1,2,7/13/2022,1,,
1,3,7/13/2022,2,,
1,4,7/13/2022,2,,
1,1,7/14/2022,1,,
1,2,7/14/2022,1,,
1,4,7/14/2022,1,,
1,1,7/15/2022,1,,
1,2,7/15/2022,1,,
1,4,7/15/2022,1,,
1,1,7/16/2022,1,,
1,2,7/16/2022,1,,
1,1,7/17/2022,1,,
1,2,7/17/2022,1,,
1,4,7/17/2022,1,,
1,1,7/18/2022,1,,
1,2,7/18/2022,1,,
1,4,7/18/2022,1,,
1,1,7/19/2022,1,,
1,2,7/19/2022,1,,
1,4,7/19/2022,1,,
1,1,7/20/2022,1,,
1,3,7/20/2022,3,,
1,4,7/20/2022,3,,
1,1,7/21/2022,1,,
1,2,7/21/2022,1,,
1,1,7/22/2022,1,,
1,2,7/22/2022,1,,
1,3,7/22/2022,1,,
1,4,7/22/2022,1,,
1,1,7/23/2022,1,,
1,2,7/23/2022,1,,
1,3,7/23/2022,2,,
1,4,7/23/2022,1,,
1,2,7/24/2022,1,,
1,4,7/24/2022,1,,
1,4,7/25/2022,2,,
1,2,7/26/2022,1,,
1,2,7/27/2022,1,,
1,3,7/27/2022,2,,
1,4,7/27/2022,2,,
1,1,7/28/2022,1,,
1,1,7/28/2022,1,,
1,3,7/29/2022,2,,
1,4,7/29/2022,2,,
1,5,7/29/2022,1,,
1,1,7/30/2022,1,,
1,2,7/30/2022,1,,
1,3,7/30/2022,1,,
1,4,7/30/2022,1,,
1,3,7/31/2022,2,,
1,4,7/31/2022,2,,
1,5,7/31/2022,1,,
1,2,8/1/2022,1,,
1,1,8/2/2022,1,,
1,2,8/2/2022,1,,
1,2,8/3/2022,1,,
1,3,8/3/2022,2,,
1,4,8/3/2022,3,,
1,2,8/4/2022,2,,
1,1,8/5/2022,1,,
1,2,8/5/2022,1,,
1,3,8/5/2022,2,,
1,4,8/5/2022,2,,
1,2,8/6/2022,1,,
1,3,8/6/2022,2,,
1,4,8/6/2022,2,,
1,5,8/6/2022,1,,
1,2,8/7/2022,1,,
1,3,8/8/2022,4,Gurgoan,
1,4,8/8/2022,2,Gurgoan,
1,2,8/9/2022,1,Gurgoan,
1,3,8/9/2022,2,Gurgoan,
1,4,8/9/2022,1,Gurgoan,
1,2,8/10/2022,1,Gurgoan,
1,3,8/10/2022,2,Gurgoan,
1,4,8/10/2022,1,Gurgoan,
1,5,8/10/2022,1,Gurgoan,
1,2,8/11/2022,1,Gurgoan,
1,3,8/11/2022,3,Gurgoan,
1,4,8/11/2022,2,Gurgoan,
1,2,8/12/2022,1,Gurgoan,
1,3,8/12/2022,2,Gurgoan,
1,4,8/12/2022,2,Gurgoan,
1,2,8/13/2022,1,Gurgoan,
1,3,8/13/2022,3,Gurgoan,
1,4,8/13/2022,2,Gurgoan,
1,5,8/13/2022,1,Gurgoan,
1,1,8/14/2022,1,Gurgoan,
1,2,8/14/2022,1,Gurgoan,
1,3,8/14/2022,2,Gurgoan,
1,4,8/14/2022,2,Gurgoan,
1,1,8/15/2022,1,Gurgoan,
1,2,8/15/2022,2,Gurgoan,
1,2,8/16/2022,1,Gurgoan,
1,4,8/16/2022,2,Gurgoan,
1,2,8/17/2022,2,Gurgoan,
1,1,8/17/2022,1,Gurgoan,
1,1,8/18/2022,1,Gurgoan,
1,2,8/18/2022,2,Gurgoan,
1,1,8/19/2022,1,Gurgoan,
1,2,8/19/2022,2,Gurgoan,
1,1,8/20/2022,1,Gurgoan,
1,1,8/21/2022,1,,
1,2,8/21/2022,1,,
1,3,8/21/2022,2,,
1,4,8/21/2022,1,,
1,1,8/22/2022,1,,
1,2,8/22/2022,1,,
